sampleNumber,etfCode,name,grade,readinessScore,selectionPhase,selectionReasons,issuer,benchmarkName,rawTypeText,topHoldings,currentTagIds,currentTagLabels,lowConfidenceTagIds,missingFields,decision,correctedTagIds,reviewNote,reviewer,reviewedAt
58,401470,KODEX 메타버스액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide K-메타버스 지수,,삼성전자 7.7%|하이브 7.64%|크래프톤 6.7%|NC 6.52%|SK하이닉스 6.16%|NHN 5.62%|와이지엔터테인먼트 5.13%|에스엠 5.05%|JYP Ent. 4.92%|넷마블 4.54%,sector.game_entertainment_media|strategy.active|asset.equity|region.domestic_kr,게임/엔터/미디어|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
59,403790,MIDAS 코스피액티브,B,57,ready_core,준비도 B등급(57점),,코스피,,삼성전자 27.5%|SK하이닉스 22.4%|SK스퀘어 1.96%|현대차우 1.81%|KB금융 1.61%|삼성전기 1.61%|현대차 1.45%|삼성생명 1.33%|기아 1.28%|LG에너지솔루션 1.28%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
60,404120,TIME K신재생에너지액티브,B,57,ready_core,준비도 B등급(57점),,KRX 기후변화 솔루션지수,,삼성전자 9.65%|한화솔루션 9.45%|SK하이닉스 8.38%|삼성SDI 8.34%|두산퓨얼셀 7.41%|씨에스윈드 7.15%|한화 4.57%|삼성전기 3.99%|현대차 3.67%|기아 3.55%,sector.clean_energy|strategy.active|asset.equity|region.domestic_kr,클린에너지|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
61,407820,에셋플러스 코리아플랫폼액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 플랫폼 지수(Price Return),,한국금융지주 8.2%|NAVER 7.09%|인바디 6.85%|SK 6.33%|SK스퀘어 6.3%|DB하이텍 4.69%|현대백화점 4.65%|한국콜마 4.58%|LS 4.14%|영원무역 3.92%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
62,410870,TIME K컬처액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide K-컬처 지수,,삼양식품 6.62%|휴젤 6.08%|에이피알 5.66%|펄어비스 5.55%|NC 5.5%|하이브 5.08%|파마리서치 4.93%|현대백화점 4.71%|롯데쇼핑 4.6%|에스엠 4.46%,sector.game_entertainment_media|strategy.active|asset.equity|region.domestic_kr,게임/엔터/미디어|액티브|주식|국내,sector.game_entertainment_media,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
63,412560,TIGER BBIG레버리지,B,57,ready_core,준비도 B등급(57점),,KRX BBIG 지수,,NC 9.24%|삼성SDI 8.99%|크래프톤 8.37%|알테오젠 7.24%|셀트리온 7.21%|LG에너지솔루션 7.16%|POSCO홀딩스 7.14%|삼성바이오로직스 6.86%|TIGER BBIG 6.83%|NAVER 6.81%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
64,412570,TIGER 2차전지TOP10레버리지,B,57,ready_core,준비도 B등급(57점),,KRX 2차전지 TOP 10 지수,,TIGER 2차전지TOP10 23.55%|삼성SDI 16.61%|POSCO홀딩스 15.87%|LG에너지솔루션 12.73%|LG화학 3.74%|SK이노베이션 2.64%|에코프로 2.17%|에코프로비엠 1.69%|포스코퓨처엠 1.41%|엘앤에프 0.76%,strategy.leverage|sector.ev_battery|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|전기차/2차전지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
65,413930,WON AI ESG액티브,B,57,ready_core,준비도 B등급(57점),,MK-iSelect AI ESG 지수(시장가격지수),,삼성전자 26.65%|SK하이닉스 22.3%|SK스퀘어 6.45%|삼성전기 4.35%|KB금융 2.68%|SK 2.19%|현대차 1.7%|두산에너빌리티 1.59%|신한지주 1.57%|삼성물산 1.3%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
66,422420,RISE 2차전지액티브,B,57,ready_core,준비도 B등급(57점),,iSelect 2차전지 지수 (시장가격지수),,삼성SDI 15.03%|LG에너지솔루션 10.18%|엘앤에프 10.06%|포스코퓨처엠 9.7%|에코프로비엠 7.23%|대주전자재료 6.88%|에코프로 6.57%|LS 6.51%|롯데에너지머티리얼즈 5.38%|SKC 4.61%,sector.ev_battery|strategy.active|asset.equity|region.domestic_kr,전기차/2차전지|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
67,433250,UNICORN R&D 액티브,B,57,ready_core,준비도 B등급(57점),,코스피 200,,SK하이닉스 22.81%|삼성전자 16.57%|한화에어로스페이스 5.99%|현대모비스 4.26%|현대차 4.22%|NAVER 3.56%|삼성전기 3.12%|LG이노텍 2.63%|삼성SDI 2.24%|카카오 2.22%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
68,438740,MIDAS 중소형액티브,B,57,ready_core,준비도 B등급(57점),,코스피 중형주,,삼성전기 4.33%|테스 3.03%|엘앤씨바이오 2.71%|두산 2.32%|신세계 2.31%|효성중공업 2.19%|디앤디파마텍 1.92%|두산에너빌리티 1.77%|이수페타시스 1.66%|HD현대마린솔루션 1.59%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
69,441640,KODEX 미국배당커버드콜액티브,B,55,ready_core,준비도 B등급(55점),삼성자산운용(주),S&P 500,"해외주식형, 시장대표",,strategy.benchmark.sp500|region.us|dividend.covered_call|strategy.active|asset.equity,S&P500|미국|커버드콜 배당|액티브|주식,,상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력,,,,,
70,441800,TIME Korea플러스배당액티브,B,57,ready_core,준비도 B등급(57점),,코스피 200,,SK하이닉스 15.7%|삼성전자 12.95%|키움증권 4.86%|삼양식품 4.45%|메리츠금융지주 3.9%|NH투자증권 3.89%|한국금융지주 3.56%|삼성물산 3.31%|삼성증권 3.27%|SK스퀘어 3.1%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
71,442090,에셋플러스 코리아대장장이액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 대장장이 지수(Price Return),,SK하이닉스 14.88%|SK가스 6.26%|삼성전기 5.42%|주성엔지니어링 4.42%|현대차 4.37%|와이지-원 4.34%|삼성SDI 4.25%|이엔에프테크놀로지 4.14%|송원산업 4.11%|S-Oil 3.97%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
72,442260,마이티 다이나믹퀀트액티브,B,57,ready_core,준비도 B등급(57점),,코스피 200,,삼성전자 25.7%|SK하이닉스 23.41%|마이티 200TR 17.02%|SK스퀘어 5.11%|SK 2.11%|현대차 2.1%|기아 1.78%|KB금융 1.4%|삼성전기 1.27%|S-Oil 1.23%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
73,444200,SOL 코리아메가테크액티브,B,57,ready_core,준비도 B등급(57점),,KEDI 메가테크지수(PR),,삼성전자 25.4%|SK하이닉스 18.37%|카카오 4.74%|현대차 4.54%|두산에너빌리티 4.34%|삼성전기 4.26%|한화에어로스페이스 4.25%|삼성에스디에스 3.05%|기아 2.86%|HD현대일렉트릭 2.4%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
74,445150,KODEX 친환경조선해운액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide K-친환경 선박 지수,,HD현대중공업 8.94%|삼성중공업 8.8%|HD한국조선해양 8.01%|한화오션 7.48%|동성화인텍 7.32%|HD현대마린엔진 6.29%|한국카본 6.22%|대한조선 6.03%|한화엔진 5.72%|HD현대마린솔루션 5.48%,strategy.active|asset.equity|region.domestic_kr|sector.shipbuilding,액티브|주식|국내|조선/조선기자재,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
75,445290,KODEX 로봇액티브,B,57,ready_core,준비도 B등급(57점),,iSelect K-로봇테마 지수,,삼성전자 9.42%|현대모비스 8.26%|로보티즈 7.92%|LG전자 7.5%|레인보우로보틱스 6.63%|현대오토에버 6.28%|현대차 5.76%|두산로보틱스 5.28%|NAVER 5.26%|SK하이닉스 4.41%,strategy.active|asset.equity|region.domestic_kr|sector.robotics,액티브|주식|국내|휴머노이드로봇/로보틱스,sector.robotics,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
76,445690,BNK 주주가치액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 주주가치 지수,,SK하이닉스 20.68%|삼성전자 17.21%|현대차 4.89%|기아 3.34%|KB금융 3.32%|신한지주 3.09%|크래프톤 2.83%|코웨이 2.54%|한화오션 1.79%|메리츠금융지주 1.47%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
77,447430,ACE 주주환원가치주액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 올라운드 가치주 지수,,더블유게임즈 9.15%|영원무역홀딩스 8.74%|서희건설 8.68%|SK가스 6.76%|KSS해운 6.34%|쿠쿠홀딩스 6.03%|세방전지 5.18%|세아제강 4.34%|세아제강지주 4.24%|NICE 4.18%,strategy.value|strategy.active|asset.equity|region.domestic_kr,가치주|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
78,448570,FOCUS AI코리아액티브,B,57,ready_core,준비도 B등급(57점),,코스피,,삼성전자 17.59%|SK하이닉스 12.26%|KB금융 6.82%|하나금융지주 6.61%|우리금융지주 6.02%|셀트리온 5.77%|삼성바이오로직스 5.71%|한국항공우주 5.54%|현대모비스 5.48%|현대로템 5.48%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
79,449450,PLUS K방산,B,71,ready_core,준비도 B등급(71점),한화자산운용,FnGuide K-방위산업 지수,"국내주식형, 시장테마",한화에어로스페이스 20.84%|현대로템 19.57%|한화오션 17.04%|한국항공우주 16.1%|LIG디펜스앤에어로스페이스 15.53%|한화시스템 7.63%|풍산 1.75%|STX엔진 0.62%|SNT다이내믹스 0.56%|엠앤씨솔루션 0.28%,sector.aerospace_defense|asset.equity|region.domestic_kr|strategy.passive_index,우주항공/방산|주식|국내|지수추종(패시브),,상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
80,451060,1Q 200액티브,B,57,ready_core,준비도 B등급(57점),,코스피 200,,삼성전자 32.67%|SK하이닉스 28.14%|SK스퀘어 2.93%|삼성전기 1.97%|현대차 1.67%|KB금융 1.56%|신한지주 1.23%|기아 0.97%|삼성물산 0.96%|하나금융지주 0.91%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
81,457930,BNK 미래전략기술액티브,B,57,ready_core,준비도 B등급(57점),,iSelect 미래전략기술 지수 (PR),,SK하이닉스 12.42%|삼성전자 11.82%|현대차 3.06%|셀트리온 2.77%|기아 2.68%|삼성바이오로직스 2.65%|삼성물산 2.57%|한화에어로스페이스 2.55%|두산에너빌리티 2.46%|현대모비스 2.32%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
82,461490,RISE 글로벌자산배분액티브,B,57,ready_core,준비도 B등급(57점),,Bloomberg Multi-Asset Weighted (KRW ETFs) 지수(시장가격),,RISE 미국S&P500 26%|KODEX 종합채권(AA-이상)액티브 17.12%|RISE 종합채권(A-이상)액티브 15.24%|TIGER 종합채권(AA-이상)액티브 14.42%|TIGER KRX금현물 12.02%|RISE 머니마켓액티브 5.73%|TIGER 미국S&P500 3.79%|KODEX 미국S&P500 1.72%|ACE KRX금현물 0.99%|TIME 미국S&P500액티브 0.31%,strategy.active|asset.mixed|region.developed,액티브|혼합/멀티에셋|선진국/글로벌,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
83,462330,KODEX 2차전지산업레버리지,B,57,ready_core,준비도 B등급(57점),,FnGuide 2차전지 산업 지수,,KODEX 2차전지산업 28.83%|LG에너지솔루션 25.79%|삼성SDI 17.96%|POSCO홀딩스 14.51%|LG화학 9.27%|에코프로비엠 6.02%|에코프로 5.6%|SK이노베이션 3.69%|포스코퓨처엠 2.84%|서진시스템 2.47%,strategy.leverage|sector.ev_battery|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|전기차/2차전지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
84,462900,KoAct 바이오헬스케어액티브,B,57,ready_core,준비도 B등급(57점),,iSelect 바이오헬스케어 PR 지수,,에스티팜 9%|올릭스 8.76%|알테오젠 8.19%|리가켐바이오 7.9%|셀트리온 7.75%|에이비엘바이오 7.5%|디앤디파마텍 6.69%|한미약품 5.63%|한올바이오파마 4.75%|알지노믹스 4.18%,sector.healthcare_bio_pharma|strategy.active|asset.equity|region.domestic_kr,의료/제약/바이오|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
85,463050,TIME K바이오액티브,B,57,ready_core,준비도 B등급(57점),,KRX 헬스케어,,셀트리온 13.73%|알테오젠 10.98%|삼성바이오로직스 8.87%|한미약품 7.25%|올릭스 7.03%|리가켐바이오 5.37%|에스티팜 4.99%|디앤디파마텍 3.61%|에이비엘바이오 3.13%|셀트리온제약 2.54%,sector.healthcare_bio_pharma|strategy.active|asset.equity|region.domestic_kr,의료/제약/바이오|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
86,470310,UNICORN 생성형AI강소기업액티브,B,57,ready_core,준비도 B등급(57점),,iSelect AI 지수,,카카오 9.49%|LG전자 9.48%|NAVER 9.25%|LG씨엔에스 8.98%|삼성에스디에스 8.85%|루닛 8.49%|NHN 8.27%|한글과컴퓨터 4.94%|피에스케이홀딩스 3.18%|셀바스AI 2.98%,sector.tech_general|strategy.active|asset.equity|region.domestic_kr,테크/기술|액티브|주식|국내,sector.tech_general,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
87,471780,TIGER 코리아테크액티브,B,57,ready_core,준비도 B등급(57점),,KRX 정보기술,,삼성전자 26.01%|SK하이닉스 21.17%|삼성전기 10.21%|피에스케이 4.44%|테스 4.02%|대덕전자 3.73%|브이엠 3.48%|심텍 3.4%|티에스이 3.08%|피에스케이홀딩스 3.06%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
88,472150,TIGER 배당커버드콜액티브,B,57,ready_core,준비도 B등급(57점),,코스피 200 커버드콜 5% OTM,,SK하이닉스 24.52%|삼성전자 23.07%|TIGER 200 8.78%|삼성전자우 6.13%|TIGER 200타겟위클리커버드콜 3.05%|SK스퀘어 2.75%|삼성전기 1.84%|KB금융 1.77%|하나금융지주 1.76%|현대차 1.69%,dividend.covered_call|strategy.active|asset.equity|region.domestic_kr,커버드콜 배당|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
89,472720,TRUSTON 주주가치액티브,B,57,ready_core,준비도 B등급(57점),,코스피 200,,SK하이닉스 17.08%|삼성전자 6.38%|KB금융 5.03%|NH투자증권 4.8%|두산 4.77%|LS 4.45%|키움증권 3.43%|신한지주 3.14%|SK 2.81%|비츠로셀 2.76%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
90,474590,WON 반도체밸류체인액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 반도체 밸류체인 (Price Return) 지수,,SK하이닉스 22.99%|삼성전자 21.55%|기가비스 6.08%|피에스케이 5.22%|피에스케이홀딩스 5.18%|브이엠 4.72%|SK스퀘어 4.4%|대덕전자 3.84%|삼성전기 3.8%|주성엔지니어링 3.24%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
91,475720,RISE 200위클리커버드콜,B,57,ready_core,준비도 B등급(57점),,코스피 200 위클리 커버드콜 ATM 지수,,삼성전자 27.22%|SK하이닉스 24.6%|RISE 200 3.82%|SK스퀘어 2.73%|삼성전기 1.82%|현대차 1.53%|KB금융 1.43%|신한지주 1.14%|기아 0.92%|삼성물산 0.91%,dividend.covered_call|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
92,476000,UNICORN 포스트IPO액티브,B,57,ready_core,준비도 B등급(57점),,iSelect 포스트 IPO 지수,,씨어스 15.01%|리센스메디컬 9.45%|코스모로보틱스 9.14%|세미티에스 7.91%|마키나락스 6.81%|케이뱅크 5.42%|액스비스 5.32%|아이엠바이오로직스 5.3%|카나프테라퓨틱스 3.52%|알지노믹스 3.24%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
93,476850,KoAct 배당성장액티브,B,57,ready_core,준비도 B등급(57점),,코스피,,삼성전자우 22.91%|SK하이닉스 20.44%|HD현대중공업 4%|KB금융 3.49%|한국금융지주 3.24%|SK스퀘어 3.11%|삼성전기 2.14%|F&F 1.95%|키움증권 1.82%|HD한국조선해양 1.8%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,sector.semiconductor,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
94,482030,KoAct 반도체&2차전지핵심소재액티브,B,57,ready_core,준비도 B등급(57점),,iSelect 반도체&2차전지핵심소재 지수,,한솔케미칼 7.48%|솔브레인 6.53%|에스앤에스텍 6.11%|동진쎄미켐 5.31%|대주전자재료 4.89%|에코프로 4.77%|엘앤에프 4.31%|포스코인터내셔널 4.21%|후성 3.87%|포스코퓨처엠 3.7%,sector.semiconductor|sector.ev_battery|strategy.active|asset.equity|region.domestic_kr,반도체|전기차/2차전지|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
95,486240,DAISHIN343 AI반도체&인프라액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide AI반도체&인프라 지수,,삼성전자 21.39%|SK하이닉스 15.87%|LS ELECTRIC 6.75%|피에스케이 5.27%|브이엠 5.18%|티에스이 4.9%|삼성전기 4.03%|효성중공업 3.9%|한화솔루션 3.42%|삼성SDI 3.13%,sector.semiconductor|sector.ai_power_infrastructure|strategy.active|asset.equity|region.domestic_kr,반도체|AI전력/인프라|액티브|주식|국내,sector.ai_power_infrastructure,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
96,487130,KoAct AI인프라액티브,B,57,ready_core,준비도 B등급(57점),,Solactive AI인프라 지수,,SK하이닉스 18.29%|삼성전자 11.97%|테스 9.12%|피에스케이 5.5%|LS ELECTRIC 5.11%|NAVER 4.22%|HD현대일렉트릭 3.93%|원익IPS 3.38%|삼성SDI 3.37%|삼성전기 3.08%,sector.semiconductor|sector.ai_power_infrastructure|strategy.active|asset.equity|region.domestic_kr,반도체|AI전력/인프라|액티브|주식|국내,sector.ai_power_infrastructure,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
97,488080,TIGER 반도체TOP10레버리지,B,57,ready_core,준비도 B등급(57점),,FnGuide 반도체TOP10 지수,,삼성전자 32.85%|SK하이닉스 30.69%|TIGER 반도체TOP10 27.61%|SK스퀘어 22.87%|DB하이텍 3.56%|한미반도체 3.39%|주성엔지니어링 2.14%|이수페타시스 2.05%|원익IPS 1.82%|리노공업 1.38%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
98,489030,PLUS 고배당주위클리커버드콜,B,57,ready_core,준비도 B등급(57점),,코스피 고배당 위클리 콜매도 ATM 지수,,기업은행 4.95%|DB손해보험 4.91%|NH투자증권 4.87%|우리금융지주 4.63%|하나금융지주 4.26%|기아 4.25%|삼성카드 4.22%|제일기획 4%|삼성증권 3.83%|KT 3.69%,dividend.covered_call|dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|한국 고배당|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
99,491510,파워 K-주주가치액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide K-주주가치 지수,,기아 3.58%|삼성화재 3.08%|JB금융지주 2.98%|하나금융지주 2.96%|코리안리 2.82%|미스토홀딩스 2.75%|우리금융지주 2.65%|HMM 2.61%|DB손해보험 2.57%|F&F 2.52%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
100,494220,UNICORN SK하이닉스밸류체인액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide SK하이닉스밸류체인 지수,,SK하이닉스 20.61%|SK스퀘어 19.28%|피에스케이 5.81%|브이엠 5.56%|피에스케이홀딩스 5%|LG이노텍 4.05%|삼성전기 3.72%|샘씨엔에스 3.57%|티씨케이 3.53%|유진테크 3.5%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
101,494310,KODEX 반도체레버리지,B,57,ready_core,준비도 B등급(57점),,KRX 반도체,,SK하이닉스 45.6%|삼성전자 24.94%|KODEX 반도체 22.25%|한미반도체 3.01%|DB하이텍 2.94%|주성엔지니어링 2.94%|이오테크닉스 2.63%|심텍 2.33%|파두 2.22%|제주반도체 2.04%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
102,494330,ACE 라이프자산주주가치액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 기업가치 지수(시장가격),,삼성전자 6.42%|한국금융지주 5.33%|DN오토모티브 4.08%|BNK금융지주 3.94%|한국전력 3.91%|코리안리 3.16%|GS 3%|우리금융지주 2.82%|하나금융지주 2.17%|팬오션 2.12%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
103,494890,KODEX 200액티브,B,57,ready_core,준비도 B등급(57점),,코스피 200,,삼성전자 33.03%|SK하이닉스 27.95%|SK스퀘어 3.24%|삼성전기 2.13%|현대차 1.71%|KB금융 1.65%|신한지주 1.23%|기아 0.97%|삼성물산 0.96%|하나금융지주 0.91%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
104,495060,TIME 코리아밸류업액티브,B,57,ready_core,준비도 B등급(57점),,코리아 밸류업 지수,,SK하이닉스 22.02%|삼성전자 18%|SK스퀘어 10.89%|KB금융 4.76%|신한지주 3.64%|한국금융지주 3.31%|하나금융지주 3%|한화에어로스페이스 2.88%|테스 2.7%|SK 2.45%,strategy.value_up|strategy.active|asset.equity|region.domestic_kr,밸류업|액티브|주식|국내,strategy.value_up,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
105,495230,KoAct 코리아밸류업액티브,B,57,ready_core,준비도 B등급(57점),,코리아 밸류업 지수,,SK하이닉스 23.29%|삼성전자 15.86%|KB금융 4.84%|SK 4.13%|SK스퀘어 3.83%|현대차 3.81%|현대모비스 3.61%|신한지주 3.09%|한화에어로스페이스 2.5%|하나금융지주 2.47%,strategy.value_up|strategy.active|asset.equity|region.domestic_kr,밸류업|액티브|주식|국내,strategy.value_up,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
106,496130,TRUSTON 코리아밸류업액티브,B,57,ready_core,준비도 B등급(57점),,코리아 밸류업 지수,,삼성전자 22.68%|SK하이닉스 18.82%|KB금융 3.69%|삼성증권 3.54%|삼성물산 3.33%|LS 3.27%|SK스퀘어 3.13%|CJ 3.02%|GS리테일 2.98%|삼성생명 2.95%,strategy.value_up|strategy.active|asset.equity|region.domestic_kr,밸류업|액티브|주식|국내,strategy.value_up,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
107,498050,HANARO 바이오코리아액티브,B,57,ready_core,준비도 B등급(57점),,iSelect K-바이오헬스케어,,에이비엘바이오 10.72%|리가켐바이오 7.98%|한올바이오파마 7.24%|에스티팜 5.65%|올릭스 4.76%|한미약품 4.7%|셀트리온 3.94%|알테오젠 3.9%|파마리서치 3.66%|엘앤씨바이오 3.61%,sector.healthcare_bio_pharma|strategy.active|asset.equity|region.domestic_kr,의료/제약/바이오|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
108,498400,KODEX 200타겟위클리커버드콜,B,57,ready_core,준비도 B등급(57점),,코스피 200 타겟 15% 위클리 커버드콜 지수,,삼성전자 27.52%|SK하이닉스 23.74%|KODEX 200 15.01%|SK스퀘어 2.54%|삼성전기 1.71%|현대차 1.43%|KB금융 1.33%|신한지주 1.05%|기아 0.82%|삼성물산 0.82%,dividend.covered_call|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
